sample_id,torque_nm
matlab_0120,-7219.3871009480727
matlab_0121,-8134.3827551064323
matlab_0122,-9209.6229284028941
matlab_0123,-10483.259018034842
matlab_0124,-12005.202371516549
matlab_0125,-13841.676583053719
matlab_0126,-16081.937520213645
matlab_0127,-18848.413397609922
matlab_0128,-22312.386849787748
matlab_0129,-26718.932334452398
matlab_0130,-32427.849196828123
matlab_0131,-39983.348583126601
matlab_0132,-50237.842180742962
matlab_0133,-64583.136416031448
matlab_0134,-85408.955198750162
matlab_0135,-117081.60903525067
matlab_0136,-168234.22985074882
matlab_0137,-257804.68458028234
matlab_0138,-433744.37065782049
matlab_0139,-846297.83078060392
matlab_0140,-2168564.0902495524
matlab_0141,-11010358.281866763
matlab_0142,-11010358.281866763
matlab_0143,-2168564.0902495524
matlab_0144,-846297.83078060392
matlab_0145,-433744.37065782049
matlab_0146,-257804.68458028234
matlab_0147,-168234.22985074882
matlab_0148,-117081.60903525067
matlab_0149,-85408.955198750162
matlab_0150,-64583.136416031448
matlab_0151,-50237.842180742962
matlab_0152,-39983.348583126601
matlab_0153,-32427.849196828123
matlab_0154,-26718.932334452398
matlab_0155,-22312.386849787748
matlab_0156,-18848.413397609922
matlab_0157,-16081.937520213645
matlab_0158,-13841.676583053719
matlab_0159,-12005.202371516549
matlab_0160,-10483.259018034842
matlab_0161,-9209.6229284028941
matlab_0162,-8134.3827551064323
matlab_0163,-7219.3871009480727
matlab_0164,-6435.0993853274467
matlab_0165,-5758.385962849823
matlab_0166,-5170.9353055804058
matlab_0167,-4658.1114904504011
matlab_0168,-4208.1114221273838
matlab_0169,-3811.3376270448371
matlab_0170,-3459.9261315764538
matlab_0171,-3147.387312646345
matlab_0172,-2868.3300020150359
matlab_0173,-2618.2476061557322
matlab_0174,-2393.3508859038907
matlab_0175,-2190.4361715795894
matlab_0176,-2006.7807252864466
matlab_0177,-1840.0590714751058
matlab_0178,-1688.2756479675625
matlab_0179,-1549.7102517459714
matlab_0180,-1422.8735836437281
matlab_0181,-1306.4708150138256
matlab_0182,-1199.3715648073264
matlab_0183,-1100.5850280395566
matlab_0184,-1009.2392656119671
matlab_0185,-924.56387207815317
matlab_0186,-845.87539765574138
matlab_0187,-772.56502496567941
matlab_0188,-704.08809805364797
matlab_0189,-639.95517750152362
matlab_0190,-579.72435558703853
matlab_0191,-522.9946130584666
matlab_0192,-469.4000368575368
matlab_0193,-418.60474810230016
matlab_0194,-370.29841339740454
matlab_0195,-324.19223126382207
matlab_0196,-280.01530007388959
matlab_0197,-237.51128501361009
matlab_0198,-196.43530975685064
matlab_0199,-156.55100405647119
matlab_0200,-117.62764152614572
