Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:21:16.894,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.507, 0.017, 1.307, -0.366, 28.992, 0, 0.797, -20.704, 34.761, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.908,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -1.053, -0.028, 0.165, 0.427, -58.228, 0, -22.758, 84.584, 109.21, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:16.908,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -1.074, -0.025, 0.216, 0.427, -64.148, 0, -14.568, 81.722, 117.444, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:16.954,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.457, 0.018, 1.296, -0.305, 32.776, 0, 0.775, -19.243, 34.783, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.954,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.448, 0.02, 1.287, -0.366, 31.921, 0, 0.753, -17.743, 34.805, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.968,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -1.058, -0.025, 0.288, 0.488, -65.369, 0, -10.437, 78.591, 121.63, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:17.029,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -1.002, -0.025, 0.346, 0.366, -58.594, 0, -8.212, 75.646, 123.904, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:17.043,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.447, 0.02, 1.283, -0.305, 29.114, 0, 0.731, -16.381, 34.827, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.088,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -0.997, -0.025, 0.376, 0.427, -60.974, 0, -6.784, 72.784, 125.37, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:17.089,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -0.999, -0.024, 0.432, 0.488, -65.063, 0, -5.707, 69.708, 126.491, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:17.103,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.387, 0.019, 1.278, -0.366, 30.518, 0, 0.714, -15.04, 34.849, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.132,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.35, 0.016, 1.263, -0.366, 32.776, 0, 0.692, -13.59, 34.871, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.161,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.355, 0.018, 1.251, -0.366, 29.175, 0, 0.67, -12.2, 34.893, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.252,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.33, 0.02, 1.245, -0.366, 28.748, 0, 0.654, -10.942, 34.915, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.267,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.956, -0.023, 0.518, 0.427, -60.242, 0, -4.911, 66.61, 127.332, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.267,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.896, -0.023, 0.534, 0.366, -57.19, 0, -4.345, 63.759, 127.936, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.270,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.904, -0.022, 0.566, 0.488, -63.11, 0, -3.884, 60.875, 128.43, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.296,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.87, -0.023, 0.632, 0.549, -65.369, -0.305, -3.483, 57.728, 128.864, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.312,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.275, 0.018, 1.233, -0.305, 32.227, 0, 0.643, -9.619, 34.931, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.312,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.266, 0.016, 1.217, -0.366, 31.189, 0, 0.626, -8.24, 34.953, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.372,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.276, 0.015, 1.206, -0.244, 27.222, 0, 0.615, -7.015, 34.969, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.388,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.805, -0.021, 0.685, 0.366, -57.373, -0.122, -3.175, 54.739, 129.194, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.418,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.769, -0.021, 0.685, 0.427, -57.678, -0.122, -2.933, 51.971, 129.468, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.448,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.778, -0.02, 0.743, 0.549, -66.589, -0.244, -2.708, 48.939, 129.721, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
