matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0082,matlab_sweep_00,82,3.0019663134302359,1,1.0354111787009181,eligible,pmks_positive_0082,matched,
matlab_0083,matlab_sweep_00,83,3.019419605950179,1,1.0309380842230049,eligible,pmks_positive_0083,matched,
matlab_0084,matlab_sweep_00,84,3.0368728984701221,1,1.026475955328491,eligible,pmks_positive_0084,matched,
matlab_0085,matlab_sweep_00,85,3.0543261909900652,1,1.0220260067722882,eligible,pmks_positive_0085,matched,
matlab_0086,matlab_sweep_00,86,3.0717794835100083,1,1.0175894319156025,eligible,pmks_positive_0086,matched,
matlab_0087,matlab_sweep_00,87,3.0892327760299514,1,1.0131674029332964,eligible,pmks_positive_0087,matched,
matlab_0088,matlab_sweep_00,88,3.1066860685498945,1,1.0087610710380681,eligible,pmks_positive_0088,matched,
matlab_0089,matlab_sweep_00,89,3.1241393610698376,1,1.0043715667199906,eligible,pmks_positive_0089,matched,
matlab_0090,matlab_sweep_00,90,3.1415926535897807,1,1.0000000000000033,eligible,pmks_positive_0090,matched,
matlab_0091,matlab_sweep_00,91,3.1590459461097238,1,1.0043715667199844,eligible,pmks_positive_0091,matched,
matlab_0092,matlab_sweep_00,92,3.1764992386296669,1,1.0087610710380621,eligible,pmks_positive_0092,matched,
matlab_0093,matlab_sweep_00,93,3.1939525311496095,1,1.0131674029332904,eligible,pmks_positive_0093,matched,
matlab_0094,matlab_sweep_00,94,3.2114058236695531,1,1.0175894319155958,eligible,pmks_positive_0094,matched,
matlab_0095,matlab_sweep_00,95,3.2288591161894957,1,1.0220260067722817,eligible,pmks_positive_0095,matched,
matlab_0096,matlab_sweep_00,96,3.2463124087094393,1,1.0264759553284843,eligible,pmks_positive_0096,matched,
matlab_0097,matlab_sweep_00,97,3.2637657012293819,1,1.0309380842229985,eligible,pmks_positive_0097,matched,
matlab_0098,matlab_sweep_00,98,3.2812189937493255,1,1.0354111787009115,eligible,pmks_positive_0098,matched,
matlab_0099,matlab_sweep_00,99,3.2986722862692686,1,1.0398940024245413,eligible,pmks_positive_0099,matched,
matlab_0100,matlab_sweep_00,100,3.3161255787892117,1,1.0443852973041992,eligible,pmks_positive_0100,matched,
matlab_0101,matlab_sweep_00,101,3.3335788713091543,1,1.0488837833503244,eligible,pmks_positive_0101,matched,
matlab_0102,matlab_sweep_00,102,3.3510321638290974,1,1.0533881585485969,eligible,pmks_positive_0102,matched,
matlab_0103,matlab_sweep_00,103,3.368485456349041,1,1.0578970987596235,eligible,pmks_positive_0103,matched,
matlab_0104,matlab_sweep_00,104,3.385938748868984,1,1.0624092576448545,eligible,pmks_positive_0104,matched,
matlab_0105,matlab_sweep_00,105,3.4033920413889271,1,1.0669232666203854,eligible,pmks_positive_0105,matched,
matlab_0106,matlab_sweep_00,106,3.4208453339088702,1,1.071437734840333,eligible,pmks_positive_0106,matched,
matlab_0107,matlab_sweep_00,107,3.4382986264288129,1,1.0759512492114813,eligible,pmks_positive_0107,matched,
matlab_0108,matlab_sweep_00,108,3.4557519189487564,1,1.080462374440909,eligible,pmks_positive_0108,matched,
matlab_0109,matlab_sweep_00,109,3.4732052114686995,1,1.0849696531183133,eligible,pmks_positive_0109,matched,
matlab_0110,matlab_sweep_00,110,3.4906585039886426,1,1.0894716058347489,eligible,pmks_positive_0110,matched,
matlab_0111,matlab_sweep_00,111,3.5081117965085857,1,1.0939667313394976,eligible,pmks_positive_0111,matched,
matlab_0112,matlab_sweep_00,112,3.5255650890285288,1,1.0984535067367689,eligible,pmks_positive_0112,matched,
matlab_0113,matlab_sweep_00,113,3.5430183815484719,1,1.1029303877239276,eligible,pmks_positive_0113,matched,
matlab_0114,matlab_sweep_00,114,3.5604716740684146,1,1.1073958088729081,eligible,pmks_positive_0114,matched,
matlab_0115,matlab_sweep_00,115,3.5779249665883577,1,1.1118481839564596,eligible,pmks_positive_0115,matched,
matlab_0116,matlab_sweep_00,116,3.5953782591083012,1,1.1162859063208233,eligible,pmks_positive_0116,matched,
matlab_0117,matlab_sweep_00,117,3.6128315516282443,1,1.120707349306397,eligible,pmks_positive_0117,matched,
matlab_0118,matlab_sweep_00,118,3.6302848441481874,1,1.1251108667178977,eligible,pmks_positive_0118,matched,
matlab_0119,matlab_sweep_00,119,3.6477381366681301,1,1.1294947933454678,eligible,pmks_positive_0119,matched,
matlab_0120,matlab_sweep_00,120,3.6651914291880732,1,1.1338574455381041,eligible,pmks_positive_0120,matched,
matlab_0121,matlab_sweep_00,121,3.6826447217080163,1,1.1381971218307088,eligible,pmks_positive_0121,matched,
matlab_0122,matlab_sweep_00,122,3.7000980142279594,1,1.1425121036259815,eligible,pmks_positive_0122,matched,
matlab_0123,matlab_sweep_00,123,3.7175513067479029,1,1.1468006559322643,eligible,pmks_positive_0123,matched,
matlab_0124,matlab_sweep_00,124,3.7350045992678456,1,1.1510610281583595,eligible,pmks_positive_0124,matched,
matlab_0125,matlab_sweep_00,125,3.7524578917877891,1,1.155291454966213,eligible,pmks_positive_0125,matched,
matlab_0126,matlab_sweep_00,126,3.7699111843077322,1,1.1594901571822394,eligible,pmks_positive_0126,matched,
matlab_0127,matlab_sweep_00,127,3.7873644768276753,1,1.1636553427679255,eligible,pmks_positive_0127,matched,
matlab_0128,matlab_sweep_00,128,3.804817769347618,1,1.1677852078502051,eligible,pmks_positive_0128,matched,
matlab_0129,matlab_sweep_00,129,3.822271061867561,1,1.1718779378119399,eligible,pmks_positive_0129,matched,
matlab_0130,matlab_sweep_00,130,3.8397243543875041,1,1.1759317084426877,eligible,pmks_positive_0130,matched,
matlab_0131,matlab_sweep_00,131,3.8571776469074472,1,1.179944687149751,eligible,pmks_positive_0131,matched,
matlab_0132,matlab_sweep_00,132,3.8746309394273908,1,1.183915034229325,eligible,pmks_positive_0132,matched,
matlab_0133,matlab_sweep_00,133,3.8920842319473339,1,1.1878409041973697,eligible,pmks_positive_0133,matched,
matlab_0134,matlab_sweep_00,134,3.9095375244672765,1,1.1917204471796303,eligible,pmks_positive_0134,matched,
matlab_0135,matlab_sweep_00,135,3.9269908169872201,1,1.1955518103600222,eligible,pmks_positive_0135,matched,
matlab_0136,matlab_sweep_00,136,3.9444441095071632,1,1.19933313948637,eligible,pmks_positive_0136,matched,
matlab_0137,matlab_sweep_00,137,3.9618974020271063,1,1.2030625804322952,eligible,pmks_positive_0137,matched,
matlab_0138,matlab_sweep_00,138,3.9793506945470489,1,1.2067382808137856,eligible,pmks_positive_0138,matched,
matlab_0139,matlab_sweep_00,139,3.996803987066992,1,1.2103583916587595,eligible,pmks_positive_0139,matched,
matlab_0140,matlab_sweep_00,140,4.0142572795869356,1,1.2139210691277103,eligible,pmks_positive_0140,matched,
matlab_0141,matlab_sweep_00,141,4.0317105721068778,1,1.2174244762832567,eligible,pmks_positive_0141,matched,
matlab_0142,matlab_sweep_00,142,4.0491638646268218,1,1.2208667849061885,eligible,pmks_positive_0142,matched,
matlab_0143,matlab_sweep_00,143,4.0666171571467649,1,1.2242461773553557,eligible,pmks_positive_0143,matched,
matlab_0144,matlab_sweep_00,144,4.084070449666708,1,1.2275608484685012,eligible,pmks_positive_0144,matched,
matlab_0145,matlab_sweep_00,145,4.1015237421866511,1,1.2308090075008924,eligible,pmks_positive_0145,matched,
matlab_0146,matlab_sweep_00,146,4.1189770347065942,1,1.2339888800983692,eligible,pmks_positive_0146,matched,
matlab_0147,matlab_sweep_00,147,4.1364303272265373,1,1.2370987103011861,eligible,pmks_positive_0147,matched,
matlab_0148,matlab_sweep_00,148,4.1538836197464803,1,1.2401367625748099,eligible,pmks_positive_0148,matched,
matlab_0149,matlab_sweep_00,149,4.1713369122664234,1,1.2431013238635831,eligible,pmks_positive_0149,matched,
matlab_0150,matlab_sweep_00,150,4.1887902047863665,1,1.2459907056629844,eligible,pmks_positive_0150,matched,
matlab_0151,matlab_sweep_00,151,4.2062434973063088,1,1.2488032461059817,eligible,pmks_positive_0151,matched,
matlab_0152,matlab_sweep_00,152,4.2236967898262527,1,1.251537312058802,eligible,pmks_positive_0152,matched,
matlab_0153,matlab_sweep_00,153,4.2411500823461949,1,1.2541913012212547,eligible,pmks_positive_0153,matched,
matlab_0154,matlab_sweep_00,154,4.2586033748661389,1,1.2567636442265799,eligible,pmks_positive_0154,matched,
matlab_0155,matlab_sweep_00,155,4.2760566673860811,1,1.2592528067356559,eligible,pmks_positive_0155,matched,
matlab_0156,matlab_sweep_00,156,4.2935099599060251,1,1.2616572915202537,eligible,pmks_positive_0156,matched,
matlab_0157,matlab_sweep_00,157,4.3109632524259673,1,1.2639756405299309,eligible,pmks_positive_0157,matched,
matlab_0158,matlab_sweep_00,158,4.3284165449459113,1,1.2662064369370596,eligible,pmks_positive_0158,matched,
matlab_0159,matlab_sweep_00,159,4.3458698374658535,1,1.268348307154419,eligible,pmks_positive_0159,matched,
matlab_0160,matlab_sweep_00,160,4.3633231299857975,1,1.2703999228197267,eligible,pmks_positive_0160,matched,
matlab_0161,matlab_sweep_00,161,4.3807764225057397,1,1.2723600027414834,eligible,pmks_positive_0161,matched,
matlab_0162,matlab_sweep_00,162,4.3982297150256837,1,1.2742273148004719,eligible,pmks_positive_0162,matched,
matlab_0163,matlab_sweep_00,163,4.4156830075456268,1,1.2760006778013306,eligible,pmks_positive_0163,matched,
matlab_0164,matlab_sweep_00,164,4.4331363000655699,1,1.2776789632686143,eligible,pmks_positive_0164,matched,
matlab_0165,matlab_sweep_00,165,4.450589592585513,1,1.2792610971818879,eligible,pmks_positive_0165,matched,
matlab_0166,matlab_sweep_00,166,4.4680428851054561,1,1.2807460616444812,eligible,pmks_positive_0166,matched,
