Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:05:56.206,COM16, 2000-00-00 00:25:59.330, 0.042, -0.025, 1.022, -5.676, -2.930, 47.180, -2.285, -1.467, -6.169, -5.393, 25.873, -38.900, 31.34,,,,,,,,,,,,,,,,
 19:05:56.207,COM16, 2000-00-00 00:25:59.340, 0.060, -0.025, 1.022, -5.676, -2.930, 47.180, -2.351, -1.489, -5.696, -4.860, 25.900, -38.947, 31.34,,,,,,,,,,,,,,,,
 19:05:56.207,COM16, 2000-00-00 00:25:59.350, 0.060, 0.010, 0.991, 9.949, 8.850, 46.387, -2.258, -1.390, -5.235, -4.467, 25.960, -38.960, 31.34,,,,,,,,,,,,,,,,
 19:05:56.222,COM14, 2000-00-06 17:25:56.978, 0.118, -0.065, 1.059, -0.427, -1.831, 47.180, -0.791, -0.154, 23.412, -33.200, 28.873, -32.207, 31.48,,,,,,,,,,,,,,,,
 19:05:56.222,COM14, 2000-00-06 17:25:56.998, 0.091, -0.101, 1.060, 2.441, -0.671, 45.227, -0.780, -0.187, 24.313, -32.713, 29.980, -32.080, 31.49,,,,,,,,,,,,,,,,
 19:05:56.238,COM13, 2000-00-00 00:27:17.415, -0.055, -0.069, 0.985, -3.784, -1.831, 80.200, 2.692, 6.136, 108.528, -33.287, 36.447, -214.680, 31.29,,,,,,,,,,,,,,,,
 19:05:56.253,COM14, 2000-00-06 17:25:57.018, -0.056, -0.091, 1.033, 3.784, -0.916, 41.870, -0.742, -0.231, 25.148, -32.573, 30.807, -32.280, 31.51,,,,,,,,,,,,,,,,
 19:05:56.253,COM14, 2000-00-06 17:25:57.038, 0.004, -0.135, 1.012, 3.113, 0.366, 41.687, -0.725, -0.242, 25.983, -32.467, 31.693, -32.373, 31.49,,,,,,,,,,,,,,,,
 19:05:56.269,COM13, 2000-00-00 00:27:17.435, -0.048, 0.191, 1.006, 0.549, -1.831, 84.045, 2.785, 6.064, 110.176, -35.693, 32.087, -215.520, 31.28,,,,,,,,,,,,,,,,
 19:05:56.269,COM13, 2000-00-00 00:27:17.455, -0.051, 0.042, 1.021, -8.606, -4.639, 86.975, 2.845, 5.960, 111.890, -34.580, 25.467, -215.300, 31.32,,,,,,,,,,,,,,,,
 19:05:56.284,COM14, 2000-00-06 17:25:57.058, 0.059, -0.027, 0.982, 4.761, 1.343, 45.349, -0.676, -0.225, 26.889, -31.780, 32.480, -32.280, 31.52,,,,,,,,,,,,,,,,
 19:05:56.300,COM16, 2000-00-00 00:25:59.360, -0.059, 0.010, 0.991, 9.949, 8.850, 46.387, -2.164, -1.296, -4.774, -4.160, 26.020, -38.993, 31.34,,,,,,,,,,,,,,,,
 19:05:56.300,COM16, 2000-00-00 00:25:59.370, -0.059, 0.087, 0.961, -0.488, -1.404, 43.335, -2.164, -1.296, -4.340, -3.940, 26.067, -39.093, 31.32,,,,,,,,,,,,,,,,
 19:05:56.300,COM14, 2000-00-06 17:25:57.078, -0.036, -0.032, 0.977, 3.540, -0.427, 45.776, -0.648, -0.247, 27.801, -30.707, 33.367, -32.060, 31.50,,,,,,,,,,,,,,,,
 19:05:56.300,COM13, 2000-00-00 00:27:17.475, -0.007, 0.011, 0.919, -6.165, -1.160, 87.585, 2.845, 5.867, 113.637, -34.480, 19.273, -214.400, 31.30,,,,,,,,,,,,,,,,
 19:05:56.300,COM13, 2000-00-00 00:27:17.495, -0.055, 0.069, 0.917, -5.432, 4.517, 87.646, 2.873, 5.856, 115.395, -34.800, 13.633, -213.720, 31.30,,,,,,,,,,,,,,,,
 19:05:56.316,COM16, 2000-00-00 00:25:59.380, 0.032, 0.087, 0.961, -0.488, -1.404, 43.335, -2.170, -1.302, -3.911, -3.753, 26.020, -39.147, 31.32,,,,,,,,,,,,,,,,
 19:05:56.316,COM16, 2000-00-00 00:25:59.390, 0.032, -0.105, 1.024, -17.334, -16.113, 40.405, -2.340, -1.450, -3.505, -3.600, 25.900, -39.133, 31.35,,,,,,,,,,,,,,,,
 19:05:56.316,COM16, 2000-00-00 00:25:59.400, 0.148, -0.105, 1.024, -17.334, -16.113, 40.405, -2.516, -1.593, -3.104, -3.540, 25.807, -39.087, 31.35,,,,,,,,,,,,,,,,
