sample_id,position,velocity,acceleration
pmks_positive_0278,3.2983378079782062,0.6308162362646873,7.1408245737835649
pmks_positive_0279,3.2909402101228276,0.70962600739768444,7.1394719796359007
pmks_positive_0280,3.282672833856922,0.78841969416562629,7.137907303753054
pmks_positive_0281,3.2735358699791535,0.86719486017007064,7.1361129276691457
pmks_positive_0282,3.2635295372905153,0.94594886440819836,7.1340693964891626
pmks_positive_0283,3.2526540849644148,1.024678841036319,7.131755425043357
pmks_positive_0284,3.2409097951396815,1.1033816792063345,7.1291479049623243
pmks_positive_0285,3.2282969857357502,1.1820540029857574,7.1262219127619213
pmks_positive_0286,3.2148160134888828,1.2606921513729998,7.1229507190333337
pmks_positive_0287,3.2004672772084453,1.3392921584206434,7.1193057988403847
pmks_positive_0288,3.1852512212518898,1.4178497334806357,7.115256843432034
pmks_positive_0289,3.1691683392170651,1.4963602415865416,7.1107717733837088
pmks_positive_0290,3.1522191778501805,1.5748186839892726,7.1058167532864358
pmks_positive_0291,3.1344043411677118,1.6532196788640494,7.1003562081076712
pmks_positive_0292,3.1157244947902436,1.7315574422077777,7.0943528413521051
pmks_positive_0293,3.0961803704859543,1.8098257689473964,7.087767655154539
pmks_positive_0294,3.0757727709214029,1.8880180142812919,7.0805599724404695
pmks_positive_0295,3.0545025746168379,1.9661270752773816,7.0726874612926984
pmks_positive_0296,3.0323707411031053,2.044145372752904,7.0641061616644549
pmks_positive_0297,3.0093783162768668,2.1220648334627339,7.0547705145810218
pmks_positive_0298,2.9855264379505977,2.1998768726243378,7.0446333939726369
pmks_positive_0299,2.9608163415934614,2.2775723768093048,7.033646141281487
pmks_positive_0300,2.9352493662588506,2.3551416872327846,7.0217586029847645
pmks_positive_0301,2.9088269606940313,2.4325745834738663,7.0089191711742265
pmks_positive_0302,2.8815506896269474,2.5098602676613178,6.9950748273301677
pmks_positive_0303,2.8534222402248135,2.5869873491607609,6.9801711894242722
pmks_positive_0304,2.8244434287188094,2.663943829800699,6.9641525624814511
pmks_positive_0305,2.794616207188688,2.7407170896762962,6.9469619927254529
pmks_positive_0306,2.7639426705006818,2.8172938735711233,6.9285413254264965
pmks_positive_0307,2.7324250633917151,2.8936602780383263,6.9088312665619469
pmks_positive_0308,2.700065787692334,2.9698017391839047,6.887771448392269
pmks_positive_0309,2.6668674096804326,3.0457030211958247,6.8653004990450714
pmks_positive_0310,2.63283266755725,3.1213482056636672,6.8413561161892193
pmks_positive_0311,2.5979644790366914,3.1967206817343614,6.8158751448691799
pmks_positive_0312,2.5622659490384736,3.2718031371502345,6.7887936595567604
pmks_positive_0313,2.525740377475107,3.346577550216205,6.7600470504633678
pmks_positive_0314,2.4883912671221866,3.4210251827432918,6.729570114140679
pmks_positive_0315,2.4502223315609806,3.4951265740158499,6.6972971483814634
pmks_positive_0316,2.4112375031817193,3.5688615358300031,6.6631620514148793
pmks_positive_0317,2.3714409412355311,3.6422091486505432,6.6270984253724095
pmks_positive_0318,2.3308370399223888,3.7151477589332162,6.589039683981289
pmks_positive_0319,2.2894304365020135,3.7876549776587201,6.5489191644222355
pmks_positive_0320,2.2472260194139855,3.8597076801239538,6.5066702432672097
pmks_positive_0321,2.2042289363931085,3.9312820070349623,6.462226456391587
pmks_positive_0322,2.1604446025652324,4.0023533669447655,6.4155216227323777
pmks_positive_0323,2.1158787085086308,4.0728964400777397,6.3664899717418431
pmks_positive_0324,2.0705372282653007,4.1428851835803364,6.3150662743621382
pmks_positive_0325,2.0244264272862393,4.2122928382360136,6.26118597732337
pmks_positive_0326,1.9775528702943987,4.2810919366797826,6.2047853405436406
pmks_positive_0327,1.9299234290485263,4.349254313145325,6.1458015773860293
pmks_positive_0328,1.8815452899908103,4.4167511147747698,6.0841729975037548
pmks_positive_0329,1.8324259617609695,4.4835528145180392,6.0198391519815946
pmks_positive_0330,1.782573282559061,4.5496292256454476,5.9527409804587759
pmks_positive_0331,1.7319954273391212,4.6149495178935762,5.8828209598962786
pmks_positive_0332,1.6807009148155114,4.6794822352606005,5.8100232546302104
pmks_positive_0333,1.6286986142636579,4.7431953154631978,5.7342938673323687
pmks_positive_0334,1.5759977520968633,4.8060561110628788,5.6555807904798563
pmks_positive_0335,1.5226079182006853,4.8680314122650623,5.5738341579177728
pmks_positive_0336,1.4685390720064391,4.9290874713895709,5.4890063960823294
pmks_positive_0337,1.4138015482854229,4.9891900290063091,5.4010523744371826
pmks_positive_0338,1.3584060626455206,5.0483043417249718,5.3099295546627516
pmks_positive_0339,1.3023637167120203,5.1063952116223454,5.2155981381272376
pmks_positive_0340,1.2456860029746786,5.1634270172856773,5.1180212111594034
pmks_positive_0341,1.1883848092833784,5.2193637464450893,5.0171648876365911
pmks_positive_0342,1.1304724229749266,5.2741690301627768,4.9129984483971212
pmks_positive_0343,1.0719615346141265,5.3278061785411728,4.8054944769849151
pmks_positive_0344,1.0128652413324961,5.3802382179068688,4.6946289912347066
pmks_positive_0345,0.95319704974865194,5.4314279294217593,4.580381570210168
pmks_positive_0346,0.89297087845490286,5.4813378890673663,4.46273547601331
pmks_positive_0347,0.8322010600551899,5.5299305089431634,4.3416777699927138
pmks_positive_0348,0.77090234274024216,5.5771680798145287,4.2171994228898946
pmks_positive_0349,0.7090898913865431,5.6230128148409166,4.0892954184776782
pmks_positive_0350,0.64677928816645402,5.6674268944100463,3.9579648502615945
pmks_positive_0351,0.58398653265774603,5.7103725119992568,3.8232110108353439
pmks_positive_0352,0.52072804144163531,5.7518119209808054,3.6850414735037083
pmks_positive_0353,0.45702064717941515,5.791707482283714,3.5434681658112259
pmks_positive_0354,0.39288159715869431,5.8300217128209981,3.3985074346422044
pmks_positive_0355,0.32832855130132299,5.8667173345874746,3.2501801025870045
pmks_positive_0356,0.26337957962617264,5.9017573243302506,3.0985115153010208
pmks_positive_0357,0.19805315916094846,5.9351049636911313,2.9435315796159602
pmks_positive_0358,0.13236817029845338,5.966723889717648,2.7852747921979897
pmks_positive_0359,0.066343892593759834,5.9965781456374678,2.6237802585834156
pmks_negative_0000,0,0,0
pmks_negative_0001,0.066343892593759834,-5.9965781456374678,2.6237802585834156
pmks_negative_0002,0.13236817029845338,-5.966723889717648,2.7852747921979897
pmks_negative_0003,0.19805315916094846,-5.9351049636911313,2.9435315796159602
pmks_negative_0004,0.26337957962617264,-5.9017573243302506,3.0985115153010208
pmks_negative_0005,0.32832855130132299,-5.8667173345874746,3.2501801025870045
pmks_negative_0006,0.39288159715869431,-5.8300217128209981,3.3985074346422044
pmks_negative_0007,0.45702064717941515,-5.791707482283714,3.5434681658112259
pmks_negative_0008,0.52072804144163531,-5.7518119209808054,3.6850414735037083
pmks_negative_0009,0.58398653265774603,-5.7103725119992568,3.8232110108353439
pmks_negative_0010,0.64677928816645402,-5.6674268944100463,3.9579648502615945
pmks_negative_0011,0.7090898913865431,-5.6230128148409166,4.0892954184776782
pmks_negative_0012,0.77090234274024216,-5.5771680798145287,4.2171994228898946
pmks_negative_0013,0.8322010600551899,-5.5299305089431634,4.3416777699927138
pmks_negative_0014,0.89297087845490286,-5.4813378890673663,4.46273547601331
pmks_negative_0015,0.95319704974865194,-5.4314279294217593,4.580381570210168
pmks_negative_0016,1.0128652413324961,-5.3802382179068688,4.6946289912347066
pmks_negative_0017,1.0719615346141265,-5.3278061785411728,4.8054944769849151
pmks_negative_0018,1.1304724229749266,-5.2741690301627768,4.9129984483971212
pmks_negative_0019,1.1883848092833784,-5.2193637464450893,5.0171648876365911
pmks_negative_0020,1.2456860029746786,-5.1634270172856773,5.1180212111594034
pmks_negative_0021,1.3023637167120203,-5.1063952116223454,5.2155981381272376
pmks_negative_0022,1.3584060626455206,-5.0483043417249718,5.3099295546627516
pmks_negative_0023,1.4138015482854229,-4.9891900290063091,5.4010523744371826
pmks_negative_0024,1.4685390720064391,-4.9290874713895709,5.4890063960823294
pmks_negative_0025,1.5226079182006853,-4.8680314122650623,5.5738341579177728
pmks_negative_0026,1.5759977520968633,-4.8060561110628788,5.6555807904798563
pmks_negative_0027,1.6286986142636579,-4.7431953154631978,5.7342938673323687
pmks_negative_0028,1.6807009148155114,-4.6794822352606005,5.8100232546302104
pmks_negative_0029,1.7319954273391212,-4.6149495178935762,5.8828209598962786
pmks_negative_0030,1.782573282559061,-4.5496292256454476,5.9527409804587759
pmks_negative_0031,1.8324259617609695,-4.4835528145180392,6.0198391519815946
pmks_negative_0032,1.8815452899908103,-4.4167511147747698,6.0841729975037548
pmks_negative_0033,1.9299234290485263,-4.349254313145325,6.1458015773860293
pmks_negative_0034,1.9775528702943987,-4.2810919366797826,6.2047853405436406
pmks_negative_0035,2.0244264272862393,-4.2122928382360136,6.26118597732337
pmks_negative_0036,2.0705372282653007,-4.1428851835803364,6.3150662743621382
pmks_negative_0037,2.1158787085086308,-4.0728964400777397,6.3664899717418431
pmks_negative_0038,2.1604446025652324,-4.0023533669447655,6.4155216227323777
pmks_negative_0039,2.2042289363931085,-3.9312820070349623,6.462226456391587
pmks_negative_0040,2.2472260194139855,-3.8597076801239538,6.5066702432672097
pmks_negative_0041,2.2894304365020135,-3.7876549776587201,6.5489191644222355
pmks_negative_0042,2.3308370399223888,-3.7151477589332162,6.589039683981289
pmks_negative_0043,2.3714409412355311,-3.6422091486505432,6.6270984253724095
pmks_negative_0044,2.4112375031817193,-3.5688615358300031,6.6631620514148793
pmks_negative_0045,2.4502223315609806,-3.4951265740158499,6.6972971483814634
pmks_negative_0046,2.4883912671221866,-3.4210251827432918,6.729570114140679
pmks_negative_0047,2.525740377475107,-3.346577550216205,6.7600470504633678
pmks_negative_0048,2.5622659490384736,-3.2718031371502345,6.7887936595567604
pmks_negative_0049,2.5979644790366914,-3.1967206817343614,6.8158751448691799
pmks_negative_0050,2.63283266755725,-3.1213482056636672,6.8413561161892193
pmks_negative_0051,2.6668674096804326,-3.0457030211958247,6.8653004990450714
pmks_negative_0052,2.700065787692334,-2.9698017391839047,6.887771448392269
pmks_negative_0053,2.7324250633917151,-2.8936602780383263,6.9088312665619469
pmks_negative_0054,2.7639426705006818,-2.8172938735711233,6.9285413254264965
pmks_negative_0055,2.794616207188688,-2.7407170896762962,6.9469619927254529
pmks_negative_0056,2.8244434287188094,-2.663943829800699,6.9641525624814511
pmks_negative_0057,2.8534222402248135,-2.5869873491607609,6.9801711894242722
pmks_negative_0058,2.8815506896269474,-2.5098602676613178,6.9950748273301677
pmks_negative_0059,2.9088269606940313,-2.4325745834738663,7.0089191711742265
pmks_negative_0060,2.9352493662588506,-2.3551416872327846,7.0217586029847645
pmks_negative_0061,2.9608163415934614,-2.2775723768093048,7.033646141281487
pmks_negative_0062,2.9855264379505977,-2.1998768726243378,7.0446333939726369
pmks_negative_0063,3.0093783162768668,-2.1220648334627339,7.0547705145810218
pmks_negative_0064,3.0323707411031053,-2.044145372752904,7.0641061616644549
pmks_negative_0065,3.0545025746168379,-1.9661270752773816,7.0726874612926984
pmks_negative_0066,3.0757727709214029,-1.8880180142812919,7.0805599724404695
pmks_negative_0067,3.0961803704859543,-1.8098257689473964,7.087767655154539
pmks_negative_0068,3.1157244947902436,-1.7315574422077777,7.0943528413521051
pmks_negative_0069,3.1344043411677118,-1.6532196788640494,7.1003562081076712
pmks_negative_0070,3.1522191778501805,-1.5748186839892726,7.1058167532864358
pmks_negative_0071,3.1691683392170651,-1.4963602415865416,7.1107717733837088
pmks_negative_0072,3.1852512212518898,-1.4178497334806357,7.115256843432034
pmks_negative_0073,3.2004672772084453,-1.3392921584206434,7.1193057988403847
pmks_negative_0074,3.2148160134888828,-1.2606921513729998,7.1229507190333337
pmks_negative_0075,3.2282969857357502,-1.1820540029857574,7.1262219127619213
pmks_negative_0076,3.2409097951396815,-1.1033816792063345,7.1291479049623243
pmks_negative_0077,3.2526540849644148,-1.024678841036319,7.131755425043357
pmks_negative_0078,3.2635295372905153,-0.94594886440819836,7.1340693964891626
pmks_negative_0079,3.2735358699791535,-0.86719486017007064,7.1361129276691457
pmks_negative_0080,3.282672833856922,-0.78841969416562629,7.137907303753054
pmks_negative_0081,3.2909402101228276,-0.70962600739768444,7.1394719796359007
pmks_negative_0082,3.2983378079782062,-0.6308162362646873,7.1408245737835649
pmks_negative_0083,3.3048654624803744,-0.55199263286040057,7.1419808629173192
pmks_negative_0084,3.3105230326206607,-0.47315728532800638,7.1429547774622471
pmks_negative_0085,3.3153103996273083,-0.39431213826054584,7.143758397692233
pmks_negative_0086,3.3192274654938485,-0.31545901314032671,7.1444019505115195
pmks_negative_0087,3.322274151733164,-0.23659962881059432,7.1448938068205416
pmks_negative_0088,3.3244503983577536,-0.1577356219732643,7.145240479421731
pmks_negative_0089,3.3257561630862922,-0.078868567706972814,7.1454466214286461
pmks_negative_0090,3.3261914207767633,1.0534240097667446E-14,7.1455150251500799
pmks_negative_0091,3.3257561630862922,0.07886856770699037,7.1454466214286469
pmks_negative_0092,3.3244503983577554,0.15773562197328678,7.1452404794217328
pmks_negative_0093,3.3222741517331604,0.2365996288106148,7.1448938068205381
pmks_negative_0094,3.319227465493845,0.31545901314034719,7.1444019505115168
pmks_negative_0095,3.3153103996273101,0.39431213826056899,7.143758397692233
pmks_negative_0096,3.3105230326206572,0.47315728532802903,7.1429547774622453
pmks_negative_0097,3.3048654624803762,0.55199263286042088,7.1419808629173209
pmks_negative_0098,3.2983378079782026,0.63081623626470795,7.1408245737835641
pmks_negative_0099,3.2909402101228258,0.70962600739770509,7.1394719796358999
pmks_negative_0100,3.282672833856922,0.78841969416564672,7.1379073037530585
pmks_negative_0101,3.2735358699791499,0.86719486017009428,7.1361129276691448
pmks_negative_0102,3.2635295372905118,0.94594886440822123,7.1340693964891635
pmks_negative_0103,3.2526540849644077,1.0246788410363423,7.1317554250433526
pmks_negative_0104,3.2409097951396797,1.1033816792063553,7.1291479049623243
pmks_negative_0105,3.2282969857357484,1.1820540029857782,7.1262219127619213
pmks_negative_0106,3.2148160134888775,1.2606921513730183,7.1229507190333283
pmks_negative_0107,3.2004672772084382,1.3392921584206638,7.1193057988403812
pmks_negative_0108,3.185251221251888,1.4178497334806561,7.1152568434320349
pmks_negative_0109,3.1691683392170633,1.4963602415865618,7.1107717733837106
pmks_negative_0110,3.1522191778501734,1.5748186839892937,7.1058167532864323
pmks_negative_0111,3.1344043411677047,1.6532196788640712,7.1003562081076677
pmks_negative_0112,3.1157244947902383,1.7315574422077993,7.0943528413521033
pmks_negative_0113,3.096180370485949,1.8098257689474155,7.087767655154539
pmks_negative_0114,3.0757727709213976,1.8880180142813165,7.0805599724404669
pmks_negative_0115,3.0545025746168291,1.966127075277404,7.0726874612926931
pmks_negative_0116,3.0323707411030965,2.0441453727529262,7.0641061616644505
pmks_negative_0117,3.0093783162768597,2.1220648334627565,7.0547705145810173
pmks_negative_0118,2.9855264379505888,2.1998768726243614,7.0446333939726333
pmks_negative_0119,2.9608163415934525,2.2775723768093274,7.0336461412814835
pmks_negative_0120,2.9352493662588417,2.3551416872328099,7.0217586029847583
pmks_negative_0121,2.9088269606940225,2.4325745834738921,7.0089191711742211
pmks_negative_0122,2.8815506896269385,2.5098602676613457,6.9950748273301642
pmks_negative_0123,2.8534222402248064,2.5869873491607875,6.9801711894242695
