sample_id,time_s,theta_rad,omega_rad_s,alpha_rad_s2
motiongen_1171,19.516999999999999,1.016,1.581,0
motiongen_1172,19.533000000000001,1.042,1.581,0
motiongen_1173,19.550000000000001,1.069,1.581,0
motiongen_1174,19.567,1.095,1.581,0
motiongen_1175,19.582999999999998,1.121,1.581,0
motiongen_1176,19.600000000000001,1.1479999999999999,1.581,0
motiongen_1177,19.617000000000001,1.1739999999999999,1.581,0
motiongen_1178,19.632999999999999,1.2,1.581,0
motiongen_1179,19.649999999999999,1.2270000000000001,1.581,0
motiongen_1180,19.667000000000002,1.2529999999999999,1.581,0
motiongen_1181,19.683,1.28,1.581,0
motiongen_1182,19.699999999999999,1.306,1.581,0
motiongen_1183,19.716999999999999,1.3320000000000001,1.581,0
motiongen_1184,19.733000000000001,1.359,1.581,0
motiongen_1185,19.75,1.385,1.581,0
motiongen_1186,19.766999999999999,1.411,1.581,0
motiongen_1187,19.783000000000001,1.4379999999999999,1.581,0
motiongen_1188,19.800000000000001,1.464,1.581,0
motiongen_1189,19.817,1.49,1.581,0
motiongen_1190,19.832999999999998,1.5169999999999999,1.581,0
motiongen_1191,19.850000000000001,1.5429999999999999,1.581,0
motiongen_1192,19.867000000000001,1.569,1.581,0
motiongen_1193,19.882999999999999,1.5960000000000001,1.581,0
motiongen_1194,19.899999999999999,1.6220000000000001,1.581,0
motiongen_1195,19.917000000000002,1.6479999999999999,1.581,0
motiongen_1196,19.933,1.675,1.581,0
motiongen_1197,19.949999999999999,1.7010000000000001,1.581,0
motiongen_1198,19.966999999999999,1.728,1.581,0
motiongen_1199,19.983000000000001,1.754,1.581,0
motiongen_1200,20,1.78,1.581,0
motiongen_1201,20.016999999999999,1.8069999999999999,1.581,0
motiongen_1202,20.033000000000001,1.833,1.581,0
motiongen_1203,20.050000000000001,1.859,1.581,0
motiongen_1204,20.067,1.8859999999999999,1.581,0
motiongen_1205,20.082999999999998,1.9119999999999999,1.581,0
motiongen_1206,20.100000000000001,1.9379999999999999,1.581,0
motiongen_1207,20.117000000000001,1.9650000000000001,1.581,0
motiongen_1208,20.132999999999999,1.9910000000000001,1.581,0
motiongen_1209,20.149999999999999,2.0169999999999999,1.581,0
motiongen_1210,20.167000000000002,2.044,1.581,0
motiongen_1211,20.183,2.0699999999999998,1.581,0
motiongen_1212,20.199999999999999,2.0960000000000001,1.581,0
motiongen_1213,20.216999999999999,2.1230000000000002,1.581,0
motiongen_1214,20.233000000000001,2.149,1.581,0
motiongen_1215,20.25,2.1760000000000002,1.581,0
motiongen_1216,20.266999999999999,2.202,1.581,0
motiongen_1217,20.283000000000001,2.2280000000000002,1.581,0
motiongen_1218,20.300000000000001,2.2549999999999999,1.581,0
motiongen_1219,20.317,2.2810000000000001,1.581,0
motiongen_1220,20.332999999999998,2.3069999999999999,1.581,0
motiongen_1221,20.350000000000001,2.3340000000000001,1.581,0
motiongen_1222,20.367000000000001,2.3599999999999999,1.581,0
motiongen_1223,20.382999999999999,2.3860000000000001,1.581,0
motiongen_1224,20.399999999999999,2.4129999999999998,1.581,0
motiongen_1225,20.417000000000002,2.4390000000000001,1.581,0
motiongen_1226,20.433,2.4649999999999999,1.581,0
motiongen_1227,20.449999999999999,2.492,1.581,0
motiongen_1228,20.466999999999999,2.5179999999999998,1.581,0
motiongen_1229,20.483000000000001,2.5449999999999999,1.581,0
motiongen_1230,20.5,2.5710000000000002,1.581,0
motiongen_1231,20.516999999999999,2.597,1.581,0
motiongen_1232,20.533000000000001,2.6240000000000001,1.581,0
motiongen_1233,20.550000000000001,2.6499999999999999,1.581,0
motiongen_1234,20.567,2.6760000000000002,1.581,0
motiongen_1235,20.582999999999998,2.7029999999999998,1.581,0
motiongen_1236,20.600000000000001,2.7290000000000001,1.581,0
motiongen_1237,20.617000000000001,2.7549999999999999,1.581,0
motiongen_1238,20.632999999999999,2.782,1.581,0
motiongen_1239,20.649999999999999,2.8079999999999998,1.581,0
motiongen_1240,20.667000000000002,2.8340000000000001,1.581,0
motiongen_1241,20.683,2.8610000000000002,1.581,0
motiongen_1242,20.699999999999999,2.887,1.581,0
motiongen_1243,20.716999999999999,2.9129999999999998,1.581,0
motiongen_1244,20.733000000000001,2.9399999999999999,1.581,0
motiongen_1245,20.75,2.9660000000000002,1.581,0
motiongen_1246,20.766999999999999,2.9929999999999999,1.581,0
motiongen_1247,20.783000000000001,3.0190000000000001,1.581,0
motiongen_1248,20.800000000000001,3.0449999999999999,1.581,0
motiongen_1249,20.817,3.0720000000000001,1.581,0
motiongen_1250,20.832999999999998,3.0979999999999999,1.581,0
motiongen_1251,20.850000000000001,3.1240000000000001,1.581,0
motiongen_1252,20.867000000000001,3.1509999999999998,1.581,0
motiongen_1253,20.882999999999999,3.177,1.581,0
motiongen_1254,20.899999999999999,3.2029999999999998,1.581,0
motiongen_1255,20.917000000000002,3.23,1.581,0
motiongen_1256,20.933,3.2559999999999998,1.581,0
motiongen_1257,20.949999999999999,3.282,1.581,0
motiongen_1258,20.966999999999999,3.3090000000000002,1.581,0
motiongen_1259,20.983000000000001,3.335,1.581,0
motiongen_1260,21,3.3620000000000001,1.581,0
motiongen_1261,21.016999999999999,3.3879999999999999,1.581,0
motiongen_1262,21.033000000000001,3.4140000000000001,1.581,0
motiongen_1263,21.050000000000001,3.4409999999999998,1.581,0
motiongen_1264,21.067,3.4670000000000001,1.581,0
motiongen_1265,21.082999999999998,3.4929999999999999,1.581,0
motiongen_1266,21.100000000000001,3.52,1.581,0
motiongen_1267,21.117000000000001,3.5459999999999998,1.581,0
motiongen_1268,21.132999999999999,3.5720000000000001,1.581,0
motiongen_1269,21.149999999999999,3.5990000000000002,1.581,0
motiongen_1270,21.167000000000002,3.625,1.581,0
motiongen_1271,21.183,3.6509999999999998,1.581,0
motiongen_1272,21.199999999999999,3.6779999999999999,1.581,0
motiongen_1273,21.216999999999999,3.7040000000000002,1.581,0
motiongen_1274,21.233000000000001,3.73,1.581,0
motiongen_1275,21.25,3.7570000000000001,1.581,0
