sample_id,torque_nm
matlab_0119,-3755.5950425539922
matlab_0120,-4424.5359670024673
matlab_0121,-5218.0466367794224
matlab_0122,-6164.6990684440761
matlab_0123,-7301.4838754697539
matlab_0124,-8676.9042306093015
matlab_0125,-10355.460095505745
matlab_0126,-12424.276366888367
matlab_0127,-15003.116878513918
matlab_0128,-18259.890285242371
matlab_0129,-22435.336085338542
matlab_0130,-27883.590468629714
matlab_0131,-35141.322081841856
matlab_0132,-45050.667149097979
matlab_0133,-58989.05181745359
matlab_0134,-79325.410806645523
matlab_0135,-110394.77361712884
matlab_0136,-160780.76564871849
matlab_0137,-249337.56643355489
matlab_0138,-423861.81023828982
matlab_0139,-834271.89864376176
matlab_0140,-2152817.7989111994
matlab_0141,-10985922.290130081
matlab_0142,-10985922.290130081
matlab_0143,-2152817.7989111994
matlab_0144,-834271.89864376176
matlab_0145,-423861.81023828982
matlab_0146,-249337.56643355489
matlab_0147,-160780.76564871849
matlab_0148,-110394.77361712884
matlab_0149,-79325.410806645523
matlab_0150,-58989.05181745359
matlab_0151,-45050.667149097979
matlab_0152,-35141.322081841856
matlab_0153,-27883.590468629714
matlab_0154,-22435.336085338542
matlab_0155,-18259.890285242371
matlab_0156,-15003.116878513918
matlab_0157,-12424.276366888367
matlab_0158,-10355.460095505745
matlab_0159,-8676.9042306093015
matlab_0160,-7301.4838754697539
matlab_0161,-6164.6990684440761
matlab_0162,-5218.0466367794224
matlab_0163,-4424.5359670024673
matlab_0164,-3755.5950425539922
matlab_0165,-3188.8975457573824
matlab_0166,-2706.812098063685
matlab_0167,-2295.2791794095228
matlab_0168,-1942.9868022599824
matlab_0169,-1640.7579697463327
matlab_0170,-1381.090308095354
matlab_0171,-1157.8064138835889
matlab_0172,-965.78568761859503
matlab_0173,-800.75678779888983
matlab_0174,-659.13563491952516
matlab_0175,-537.89796168270277
matlab_0176,-434.47829303584319
matlab_0177,-346.68931216000328
matlab_0178,-272.65707143617317
matlab_0179,-210.76860778791695
matlab_0180,-159.62933475686057
matlab_0181,-118.02818941111737
matlab_0182,-84.908967162789608
matlab_0183,-59.346621896159228
matlab_0184,-40.527571254375431
matlab_0185,-27.733248314793226
matlab_0186,-20.326296383180047
matlab_0187,-17.738924413005279
matlab_0188,-19.46303486875015
matlab_0189,-25.041809859119148
matlab_0190,-34.062499684086156
matlab_0191,-46.150204051675175
matlab_0192,-60.962472763965309
matlab_0193,-78.18458165328309
matlab_0194,-97.52536249600098
matlab_0195,-118.71348370496706
matlab_0196,-141.49409268019483
matlab_0197,-165.62574143648135
matlab_0198,-190.87752499872266
matlab_0199,-217.02636738324307
matlab_0200,-243.85439295323445
